id,time,cur_frame,total_frames,arm_pos_x,arm_pos_y,arm_pos_z,arm_yaw,arm_roll,arm_pitch,hand_pos_x,hand_pos_y,hand_pos_z,hand_yaw,hand_roll,hand_pitch,hand_vel_x,hand_vel_y,hand_vel_z,finger1_pos_x,finger1_pos_y,finger1_pos_z,finger1_yaw,finger1_roll,finger1_pitch,finger1_vel_x,finger1_vel_y,finger1_vel_z,finger2_pos_x,finger2_pos_y,finger2_pos_z,finger2_yaw,finger2_roll,finger2_pitch,finger2_vel_x,finger2_vel_y,finger2_vel_z,finger3_pos_x,finger3_pos_y,finger3_pos_z,finger3_yaw,finger3_roll,finger3_pitch,finger3_vel_x,finger3_vel_y,finger3_vel_z,finger4_pos_x,finger4_pos_y,finger4_pos_z,finger4_yaw,finger4_roll,finger4_pitch,finger4_vel_x,finger4_vel_y,finger4_vel_z,finger5_pos_x,finger5_pos_y,finger5_pos_z,finger5_yaw,finger5_roll,finger5_pitch,finger5_vel_x,finger5_vel_y,finger5_vel_z,sign
0,9005608,0,10,106.42189,94.83247,314.7654,-0.25937688,0.27754474,-0.9250365,31.06783,203.64899,43.88862,-0.033048443,0.68713844,-0.72577447,0.68642783,3.7328942,-2.6570282,-50.682022,-13.772812,-19.962786,-0.36798266,0.057309512,-0.9280649,0.27957532,6.8856235,-1.0725524,-66.29845,-2.3697205,-19.764133,-0.6765472,-0.733934,0.060206108,0.022776166,8.163147,-0.50106686,-64.61116,-12.446579,-22.711102,-0.7144973,-0.6587456,0.23568572,1.5187529,8.328023,-0.13293503,-51.148766,-24.396423,-25.570599,-0.7434472,-0.59020865,0.31454727,1.1702816,7.549652,-0.8252178,-34.216915,-24.443237,-34.806293,-0.91538477,-0.2716955,0.29707286,1.1517912,7.2651925,0.54970956,num0
1,100874458,1,10,105.74845,92.2157,314.1758,-0.2567113,0.28792742,-0.9226034,30.956083,203.83939,43.514694,-0.033480447,0.68659955,-0.72626454,-0.8284721,1.1040708,-2.8658142,-50.599724,-13.803848,-19.716087,-0.36833498,0.055340208,-0.9280446,-1.0144477,0.9102335,-1.7349684,-66.28627,-2.3102875,-19.516546,-0.67682534,-0.7333758,0.06377639,-1.7834941,2.0053055,-1.6145499,-64.46467,-12.383087,-22.371742,-0.7122198,-0.65911597,0.24147284,-1.1345092,2.4144118,-1.7648258,-51.049984,-24.386887,-25.210821,-0.74108917,-0.58953637,0.32130003,-0.8721688,1.4576031,-0.85500515,-34.070885,-24.475983,-34.303257,-0.9113702,-0.2686907,0.31178454,-0.6909474,1.0282153,-0.5892334,num0
2,200992388,2,10,105.28721,90.09827,313.4512,-0.25507653,0.2954548,-0.920675,30.855318,203.81642,43.077904,-0.033442795,0.6874091,-0.72550005,-0.9271709,-1.1900198,-5.1828713,-50.417885,-13.939682,-19.56698,-0.3662282,0.05178898,-0.9290828,1.4647083,-4.9600744,-5.3474364,-66.291695,-2.1676025,-19.316408,-0.6777968,-0.7323378,0.065367706,-1.9068693,-0.2610181,-4.0905347,-64.38735,-12.224716,-22.135973,-0.7113152,-0.65893644,0.24460874,-0.4875281,-0.0816546,-3.6313975,-51.028687,-24.245087,-25.029074,-0.7407744,-0.58811486,0.32461405,-1.0967933,0.010776307,-4.685685,-34.062855,-24.38829,-34.08181,-0.9097292,-0.2663312,0.31852868,-0.9501771,-0.6839449,-4.441315,num0
3,301110785,3,10,104.94786,87.00159,312.35602,-0.2534523,0.30531296,-0.917903,31.046238,203.32579,42.343494,-0.02980841,0.6862693,-0.7267365,2.7049577,-6.5762324,-9.148633,-50.02796,-14.273956,-19.615335,-0.3587474,0.044180233,-0.93238854,6.419416,-11.845086,-10.639253,-66.21167,-2.0569305,-19.432434,-0.67935,-0.73087895,0.065570734,2.6424332,-6.7033277,-11.350989,-64.12007,-12.080612,-22.146954,-0.7108778,-0.6584114,0.24727957,5.3290253,-6.1828876,-10.031783,-50.844597,-24.155838,-24.991158,-0.74144953,-0.58585864,0.3271426,4.1844687,-6.7766576,-9.606765,-33.78487,-24.399216,-33.804558,-0.90770733,-0.26265192,0.32723293,5.9265895,-8.135729,-6.2535605,num0
4,401214732,4,10,104.66413,85.61068,311.6573,-0.25170836,0.30911013,-0.9171117,31.324505,202.73293,41.220203,-0.025865516,0.6801791,-0.7325895,2.0382402,-5.2378764,-11.138311,-49.58423,-14.744705,-19.609888,-0.34966663,0.031592444,-0.9363414,7.21611,-11.363386,-9.750429,-66.07106,-2.2569733,-19.740156,-0.67916185,-0.7307878,0.06847106,2.2501488,-7.402213,-14.208876,-63.763775,-12.26387,-22.27312,-0.70947367,-0.65807635,0.25215596,4.2947664,-6.959047,-12.915976,-50.40354,-24.435074,-24.77491,-0.73877966,-0.58462214,0.33529314,5.817668,-8.463942,-8.661013,-33.412632,-24.711288,-33.569004,-0.9073111,-0.2592747,0.33100334,5.0491414,-8.771319,-8.997408,num0
5,501870109,5,10,105.012085,85.666595,311.55658,-0.25282246,0.308529,-0.9170009,31.380615,202.6386,40.74461,-0.02445886,0.67779505,-0.73484397,0.06543587,-0.033798628,-4.6215196,-49.09876,-15.209122,-19.396713,-0.34010836,0.018675128,-0.9402008,4.9782324,-5.714915,-2.495275,-66.002945,-2.3515778,-19.828897,-0.67883664,-0.73094785,0.06997189,-0.24159637,-1.5201097,-6.14653,-63.578083,-12.335236,-22.287464,-0.70852846,-0.6581701,0.2545576,1.0645595,-1.090647,-5.8092523,-50.12309,-24.576126,-24.55285,-0.73620987,-0.5843547,0.34135708,2.3759708,-2.0861645,-3.0657778,-33.159145,-24.860565,-33.278374,-0.9051113,-0.2579772,0.33796638,2.2632248,-1.9417273,-2.5552895,num0
6,601886889,6,10,105.87094,87.19649,311.50092,-0.2569246,0.30394378,-0.9173919,31.1637,203.23657,40.457645,-0.022948325,0.6812143,-0.7317243,-3.3345764,7.2964187,-2.7522986,-48.51573,-15.690155,-19.52269,-0.3272022,0.011967811,-0.9448786,2.943472,1.2602384,-4.8784323,-65.85177,-2.5281677,-20.161613,-0.6760457,-0.73413694,0.06328638,-2.2592263,4.4424133,-6.793755,-63.2023,-12.466095,-22.568256,-0.70501924,-0.6634987,0.25043446,0.47381675,4.676002,-5.9204063,-49.645325,-24.691513,-24.694134,-0.7325823,-0.5894438,0.34041038,1.3369371,5.6317334,-5.6744747,-32.67084,-24.875854,-33.20682,-0.9022132,-0.26275182,0.34201285,1.6394129,6.6970043,-2.4372098,num0
7,701974521,7,10,106.119545,87.888275,311.68796,-0.258353,0.30200145,-0.9176322,30.907421,203.55963,40.356037,-0.023784695,0.6823352,-0.73065245,-2.362232,2.4506679,-0.6431704,-48.159103,-16.07933,-19.605917,-0.3196085,0.0064023947,-0.94752806,-0.1269599,-0.4122299,-2.2517698,-65.75293,-2.8132172,-20.337303,-0.6725781,-0.7375593,0.0603739,-1.9349148,0.21753383,-2.5293689,-62.494114,-12.918549,-22.181646,-0.6910246,-0.6738272,0.2616141,3.467033,-1.0837979,2.2182028,-49.17811,-24.908981,-24.633148,-0.7269028,-0.59447193,0.3438247,2.320958,0.76212007,0.21459167,-32.21741,-25.025879,-32.91177,-0.8970959,-0.2678661,0.35137826,1.7821679,0.9990033,3.0893476,num0
8,802381452,8,10,105.902374,88.88016,312.5023,-0.2580406,0.29689902,-0.91938347,30.635204,203.2891,40.407417,-0.024705986,0.68166447,-0.73124766,-3.0110893,-4.64325,0.5211322,-47.974518,-16.347641,-19.674986,-0.31574532,0.0022197904,-0.9488414,-1.7471827,-7.4761653,-0.15996468,-65.678314,-3.078247,-20.433746,-0.6698193,-0.7400941,0.06002318,-2.859811,-7.4176736,-0.32002524,-61.906075,-13.251434,-21.861874,-0.6802137,-0.6809385,0.27135244,2.2599463,-7.7004433,3.4174654,-48.724518,-25.080292,-24.493767,-0.7216714,-0.59751993,0.34951442,1.0837387,-6.064211,1.4961408,-31.801064,-25.205307,-32.559196,-0.891882,-0.2715166,0.3616977,1.059875,-6.8075323,4.582524,num0
9,902753889,9,10,105.45734,92.55407,314.45853,-0.25652748,0.27842316,-0.925567,30.591011,202.18765,40.49366,-0.023821687,0.6795125,-0.7332771,-0.037208926,-10.600636,1.8546904,-48.01979,-16.299805,-19.552303,-0.3165607,-5.5831106E-4,-0.9485721,-1.0529679,-9.690173,2.3429885,-64.16727,-3.206253,-18.664473,-0.6352707,-0.76301444,0.119331926,24.124025,-12.439393,28.836306,-61.662636,-13.134216,-21.501108,-0.67727834,-0.6804362,0.27982253,1.9539882,-8.487206,4.5509267,-48.629692,-24.954514,-24.239538,-0.721464,-0.5941015,0.3557149,0.55550545,-7.928157,2.5884647,-31.751331,-25.215088,-32.239944,-0.88975906,-0.26794747,0.3695037,0.16985351,-10.086383,4.077991,num0
