id,time,cur_frame,total_frames,arm_pos_x,arm_pos_y,arm_pos_z,arm_yaw,arm_roll,arm_pitch,hand_pos_x,hand_pos_y,hand_pos_z,hand_yaw,hand_roll,hand_pitch,hand_vel_x,hand_vel_y,hand_vel_z,finger1_pos_x,finger1_pos_y,finger1_pos_z,finger1_yaw,finger1_roll,finger1_pitch,finger1_vel_x,finger1_vel_y,finger1_vel_z,finger2_pos_x,finger2_pos_y,finger2_pos_z,finger2_yaw,finger2_roll,finger2_pitch,finger2_vel_x,finger2_vel_y,finger2_vel_z,finger3_pos_x,finger3_pos_y,finger3_pos_z,finger3_yaw,finger3_roll,finger3_pitch,finger3_vel_x,finger3_vel_y,finger3_vel_z,finger4_pos_x,finger4_pos_y,finger4_pos_z,finger4_yaw,finger4_roll,finger4_pitch,finger4_vel_x,finger4_vel_y,finger4_vel_z,finger5_pos_x,finger5_pos_y,finger5_pos_z,finger5_yaw,finger5_roll,finger5_pitch,finger5_vel_x,finger5_vel_y,finger5_vel_z,sign
0,100214699,0,20,94.54648,100.861626,167.28651,-0.384559,0.5697465,-0.7262942,-7.02118,259.01245,-10.61609,-0.29279533,0.76907176,-0.56815445,21.318623,-8.0148735,-23.166264,-53.30663,-4.373169,-2.4387846,-0.6641171,0.21026716,-0.71745116,30.85473,-27.315603,-46.260525,-41.001724,-18.003387,10.83728,-0.11000237,-0.9337709,0.34054574,28.018595,7.8718834,-9.903718,-39.83634,-25.284729,6.7270937,-0.165451,-0.8611789,0.48062143,-0.15457597,6.822154,-19.434967,-27.63552,-31.726135,2.0865965,-0.124556534,-0.76999724,0.6257714,9.192942,-2.2213938,-13.413407,-21.602802,-30.10373,-9.910281,-0.30260774,-0.6676206,0.6802288,29.03576,-10.817173,-5.7456284,a1
1,200311467,1,20,92.70017,105.963875,166.5478,-0.34759578,0.53717804,-0.76851606,-3.487223,257.51318,-16.863453,-0.3592928,0.7923736,-0.49300385,23.118792,-22.656097,-44.22995,-53.137512,-6.833786,0.2559147,-0.7133836,0.22258759,-0.6644837,20.730297,-34.138874,-19.850079,-40.81891,-19.109161,11.104298,-0.097637005,-0.959433,0.26449072,6.8157907,-23.08045,-64.224785,-40.305965,-25.903671,6.010454,-0.16270304,-0.8973207,0.41029665,-1.1000016,-17.163502,-76.5545,-26.49222,-32.990128,1.3820829,-0.066516615,-0.8170291,0.5727468,32.189587,-34.155838,-65.79292,-20.589039,-30.395096,-10.582581,-0.21480098,-0.7280697,0.65098006,34.31714,-21.85436,-63.64248,a1
2,300920976,2,20,97.068,109.21593,166.14038,-0.35534096,0.5165389,-0.77905095,-1.7605497,256.00974,-18.898415,-0.3796139,0.79299617,-0.476498,28.269773,-31.70483,-22.677158,-53.181583,-7.9716797,0.52828217,-0.72443277,0.23207816,-0.64910465,23.948124,-43.839905,-33.18852,-42.595226,-18.70752,8.54408,-0.13746308,-0.968631,0.20702125,4.9956236,-32.854282,-75.12645,-42.062126,-25.374146,3.057104,-0.20695996,-0.9094867,0.36055723,0.26424694,-23.822165,-85.61051,-25.577574,-33.851257,0.04213333,-0.05277051,-0.8346779,0.5482044,41.88566,-44.102596,-54.622673,-18.965265,-30.875977,-11.485872,-0.17985128,-0.7526982,0.6333238,55.19305,-37.402554,-45.639828,a1
3,401837197,3,20,99.32596,111.13341,167.12825,-0.35861862,0.49700844,-0.79017425,0.5041231,253.98993,-20.625225,-0.35648346,0.80409706,-0.47575983,9.066676,-13.805288,-19.050724,-54.004963,-6.009262,0.639164,-0.7150215,0.29030132,-0.6359791,1.4139031,13.714944,-1.714335,-45.799736,-16.485321,3.2200413,-0.22607884,-0.9664318,0.1220572,-19.52498,16.052141,-49.38303,-45.710056,-22.439545,-3.1669197,-0.32146344,-0.9062988,0.2743787,-25.662247,22.477814,-57.01225,-25.651802,-33.842163,-2.8771687,-0.09235629,-0.8527789,0.5140413,-0.64527076,-7.23118,-35.5194,-17.779167,-30.667496,-13.548244,-0.20863982,-0.7736483,0.59827894,7.589815,-8.127278,-30.194174,a1
4,502492852,4,20,98.575485,113.68701,167.69829,-0.36231822,0.47854856,-0.799823,-0.9978408,252.9292,-21.350208,-0.35662737,0.81369704,-0.45903596,-31.686546,-14.933654,-4.8846893,-54.404236,-5.0012207,2.593504,-0.73068905,0.31494188,-0.60572696,-32.541916,-10.493672,12.582482,-47.320114,-14.694855,2.552229,-0.26862726,-0.959422,0.08572523,-40.169212,-2.7709892,-3.0257993,-47.544197,-20.34793,-4.1693935,-0.36363325,-0.8983093,0.24659933,-41.701332,-0.51676804,-4.6199026,-26.40301,-33.430588,-3.3364506,-0.105551146,-0.86080956,0.4978613,-37.918064,-11.496199,-6.2267156,-18.166494,-30.30281,-13.823669,-0.20834865,-0.78181446,0.5876708,-36.395035,-11.782189,-5.811359,a1
5,603057147,5,20,97.09353,114.41148,168.15413,-0.36289445,0.47169614,-0.80362326,-2.6814933,252.26904,-21.377462,-0.35928783,0.8163115,-0.45226967,-12.072341,-4.8407574,-0.38224325,-54.308735,-4.80455,3.1732578,-0.733229,0.3189524,-0.60053694,-9.267761,-3.118233,2.9183671,-47.78485,-13.94194,2.4795113,-0.27602464,-0.9586016,0.0699531,-15.447114,3.966087,-2.0957413,-47.890373,-19.61203,-4.2109013,-0.3648389,-0.898696,0.24338867,-11.82426,3.4185297,-0.87990373,-26.509426,-33.37349,-3.2657375,-0.10230445,-0.86285996,0.49498126,-12.745384,-4.490415,0.2532622,-18.262615,-30.232254,-13.766279,-0.20220052,-0.78410673,0.5867636,-12.29529,-4.4958744,0.39607498,a1
6,703406090,6,20,98.14028,113.65959,168.24533,-0.3734678,0.4705852,-0.7994194,-3.6918848,251.86363,-19.273602,-0.35185456,0.8342902,-0.42445052,-8.622737,-4.1234255,11.859528,-53.55784,-4.341446,2.1361103,-0.7104854,0.35162607,-0.60956514,4.303884,2.160107,1.3970575,-48.608406,-12.515671,0.29434013,-0.29602793,-0.95517856,0.0011733387,-16.21158,12.611584,-6.524101,-48.755512,-17.535263,-6.9841175,-0.3989483,-0.89850193,0.18312421,-18.358793,19.718725,-13.1137,-26.732433,-33.079834,-5.394926,-0.1205507,-0.88354987,0.45255622,-13.730588,-0.091554254,-6.1824265,-18.117195,-29.454117,-15.483025,-0.22502282,-0.804972,0.5489853,-11.4901905,4.508894,-2.6445997,a1
7,803424083,7,20,98.93991,113.59763,167.96436,-0.3797048,0.46926132,-0.7972566,-4.1595373,251.64272,-18.880835,-0.3489155,0.83853257,-0.4184747,-7.0031104,-3.136418,3.962861,-53.23748,-4.3043976,1.6360912,-0.7015983,0.35887346,-0.6156052,-3.2083359,-4.028045,-4.5539036,-49.24706,-11.425171,-0.776844,-0.31543514,-0.94850504,-0.028962253,-12.178907,6.2565274,-7.914821,-49.334644,-16.292358,-8.300316,-0.4213968,-0.8928715,0.15876146,-8.586702,4.7526236,-8.547222,-27.383785,-32.665787,-6.5147076,-0.14711443,-0.88928187,0.43305328,-13.970221,1.6396743,-9.80045,-18.33725,-28.937393,-16.269651,-0.25276086,-0.80687565,0.53391355,-9.741603,2.892451,-5.868136,a1
8,903516656,8,20,100.588326,112.77357,166.59543,-0.3950781,0.46929646,-0.7897304,-5.2393756,251.20163,-18.52469,-0.33004603,0.8505076,-0.40951976,-6.152152,-2.1917837,1.5611008,-52.589153,-3.6623535,-0.8221054,-0.6631514,0.38743767,-0.64040786,-1.6205907,7.114378,-12.895308,-49.341366,-10.764389,-3.8569431,-0.31332266,-0.9461442,-0.08148637,-5.277303,4.941314,-20.033358,-48.881226,-15.3871155,-11.572241,-0.42652926,-0.8979708,0.10826451,-0.79505223,7.531073,-21.84068,-28.616875,-31.512848,-10.163479,-0.21739209,-0.90145874,0.37431642,-19.435339,9.965827,-28.92644,-18.308292,-27.678116,-18.775084,-0.3226309,-0.8149406,0.48143658,-11.128258,11.108018,-20.607912,a1
9,1003714573,9,20,100.72326,113.89635,165.536,-0.40578237,0.457121,-0.7914424,-5.7414103,250.87122,-19.073828,-0.2880964,0.8769614,-0.3846286,-4.7169724,-2.4615407,-4.99075,-52.640755,-0.47763062,-0.83597946,-0.6373755,0.45608217,-0.621081,-10.210693,31.730532,2.3348308,-49.60233,-7.9428864,-5.9719677,-0.34028888,-0.9301033,-0.13824373,-3.258821,24.449368,-22.369215,-48.70788,-12.576447,-13.794451,-0.44996756,-0.8908711,0.062272344,1.2947756,24.536932,-23.391373,-29.636562,-29.85785,-12.569939,-0.26693514,-0.90644175,0.3272751,-11.797444,13.2032,-25.83212,-18.97084,-25.91771,-20.758806,-0.38069588,-0.8178944,0.4314156,-9.079202,13.460689,-22.069502,a1
10,1103811342,10,20,100.499016,115.15503,165.03033,-0.4112915,0.44675916,-0.7945096,-6.027441,250.63931,-19.551907,-0.26050767,0.8932381,-0.366417,-2.2243838,-1.3304722,-3.9243736,-52.713516,1.5961151,-0.561512,-0.61988205,0.49675307,-0.6074394,-3.444566,15.63684,0.46416616,-49.403336,-5.764038,-6.849468,-0.3476144,-0.92236096,-0.16856588,1.5231645,18.169287,-9.098321,-48.308495,-10.22435,-14.85767,-0.4611247,-0.88655,0.037324395,4.736522,19.05362,-10.769471,-30.169344,-28.776917,-13.745228,-0.28872642,-0.90774065,0.30437464,-3.7011702,5.740648,-10.924954,-19.252798,-24.901138,-21.657265,-0.40241414,-0.81933963,0.4083447,-2.3695285,5.3363023,-9.09224,a1
