id,time,cur_frame,total_frames,arm_pos_x,arm_pos_y,arm_pos_z,arm_yaw,arm_roll,arm_pitch,hand_pos_x,hand_pos_y,hand_pos_z,hand_yaw,hand_roll,hand_pitch,hand_vel_x,hand_vel_y,hand_vel_z,finger1_pos_x,finger1_pos_y,finger1_pos_z,finger1_yaw,finger1_roll,finger1_pitch,finger1_vel_x,finger1_vel_y,finger1_vel_z,finger2_pos_x,finger2_pos_y,finger2_pos_z,finger2_yaw,finger2_roll,finger2_pitch,finger2_vel_x,finger2_vel_y,finger2_vel_z,finger3_pos_x,finger3_pos_y,finger3_pos_z,finger3_yaw,finger3_roll,finger3_pitch,finger3_vel_x,finger3_vel_y,finger3_vel_z,finger4_pos_x,finger4_pos_y,finger4_pos_z,finger4_yaw,finger4_roll,finger4_pitch,finger4_vel_x,finger4_vel_y,finger4_vel_z,finger5_pos_x,finger5_pos_y,finger5_pos_z,finger5_yaw,finger5_roll,finger5_pitch,finger5_vel_x,finger5_vel_y,finger5_vel_z,sign
0,5621502,0,30,64.039894,92.92899,336.63806,-0.16042532,0.120994925,-0.97960395,20.737936,135.82544,18.403376,-0.13352484,0.27109128,-0.9532474,-12.124356,-12.254847,-13.873002,93.42289,-33.431274,-25.698547,0.6226667,-0.11862951,-0.77344245,-11.804789,-12.311205,-8.165182,30.905943,42.51744,-98.615295,0.116389446,0.41315302,-0.90319324,-14.312751,-19.862495,-17.599396,-19.532625,57.417694,-98.9081,-0.21055096,0.49841478,-0.84098214,-14.469201,-27.992535,-22.77665,-55.135643,54.386887,-79.71805,-0.3909948,0.50327814,-0.7706064,-13.34212,-26.418053,-22.693838,-85.14229,29.500885,-47.438805,-0.67341846,0.3540526,-0.64896405,-11.941856,-25.594025,-21.57367,s
1,101222467,1,30,64.510345,93.437164,335.6729,-0.16847107,0.11694748,-0.9787445,19.04015,134.49751,17.534163,-0.13428068,0.25664616,-0.95713186,-13.271885,-9.44674,-5.4783425,93.50369,-33.161278,-25.192427,0.6132922,-0.1322292,-0.77870923,-16.120525,-8.88807,-3.7707088,30.637833,41.626923,-99.06684,0.11294189,0.40319377,-0.9081183,-15.99949,-16.11027,-9.000595,-19.955906,55.819946,-99.73707,-0.21572945,0.4809431,-0.8497968,-18.548426,-24.020777,-12.6865015,-55.382385,52.910522,-80.5229,-0.39311293,0.4897603,-0.77820116,-15.774998,-21.582277,-11.882325,-85.29724,28.10466,-47.985626,-0.6749669,0.33879545,-0.65546733,-14.524092,-20.843573,-9.982831,s
2,201501025,2,30,64.753075,93.889336,335.40475,-0.172357,0.11543231,-0.97824764,18.276548,134.25037,17.349876,-0.1338653,0.25095707,-0.9586974,-6.494524,-1.4169042,-1.4752425,93.27078,-33.067307,-25.112019,0.6009528,-0.1403338,-0.7868686,-12.626679,-2.7674127,-4.0504737,30.543783,41.33853,-99.20437,0.11108152,0.3993924,-0.9100256,-7.9780636,-4.5220404,-3.00266,-20.218357,55.03917,-100.115845,-0.22017917,0.46995488,-0.8547886,-9.601866,-9.849211,-5.4331408,-55.454536,52.278168,-80.88454,-0.39383423,0.4838975,-0.7814972,-7.151975,-7.1046615,-4.778993,-85.279655,27.587433,-48.275864,-0.67421734,0.3325375,-0.6594314,-5.8985014,-6.166693,-4.615306,s
3,301625295,3,30,64.93109,94.31792,335.27057,-0.17468923,0.11487294,-0.97789973,17.874077,134.31839,17.274395,-0.13309239,0.24707319,-0.9598131,-3.608059,0.7016403,-0.6476746,92.43926,-33.580414,-25.491627,0.58094,-0.15417865,-0.7992106,-13.81579,-6.713761,-5.4532175,30.432621,41.150803,-99.28467,0.108249664,0.39658037,-0.91159534,-6.2329397,-2.6113396,-2.2049196,-20.321835,54.536392,-100.36383,-0.2223919,0.46332794,-0.8578281,-5.296845,-5.4798255,-3.5630915,-55.38043,51.8497,-81.20511,-0.39402846,0.47615802,-0.78613937,-3.7937467,-6.633956,-5.205522,-85.08497,27.331955,-48.62713,-0.67032343,0.32613757,-0.6665589,-0.010689281,-4.891001,-7.3600154,s
4,402047420,4,30,65.027054,94.76651,335.07672,-0.17602298,0.11422859,-0.97773606,17.781445,134.46962,17.104986,-0.13000144,0.24493891,-0.9607833,-0.44201723,2.765001,-2.644054,90.55527,-34.94924,-26.511787,0.5462544,-0.17696628,-0.8187118,-36.317562,-23.295227,-24.761372,30.192596,41.808304,-98.93351,0.10123114,0.40877527,-0.90700334,-6.4092717,16.344269,4.2323866,-20.018625,54.257553,-100.571045,-0.21994095,0.4593464,-0.8605968,5.0229964,-1.095382,-5.7260246,-55.07343,49.801544,-82.531075,-0.39323306,0.43110698,-0.812105,3.1348045,-44.95677,-31.904465,-84.00946,26.450378,-50.13684,-0.6498415,0.2971497,-0.6995771,18.565931,-18.383112,-32.00883,s
5,502400559,5,30,65.17586,92.48094,334.4804,-0.17474298,0.14069746,-0.97450966,19.36146,138.669,17.291859,-0.112049006,0.23090504,-0.9665029,25.057096,63.403263,4.178469,89.03275,-35.177437,-26.06361,0.52137667,-0.19717109,-0.8302349,13.499391,72.34994,13.450389,29.050901,42.974472,-98.078094,0.070745684,0.42089233,-0.90434766,-3.8297892,71.755936,10.252543,-18.059385,51.288773,-102.392624,-0.19809574,0.41110244,-0.88980496,51.49228,11.647778,-25.536423,-52.458794,40.773407,-87.98517,-0.35794592,0.2916202,-0.8870357,65.42089,-59.23543,-65.77695,-80.13031,20.418121,-56.067226,-0.57997453,0.18248115,-0.79393333,78.63999,-23.799744,-72.813286,s
6,602474953,6,30,50.48671,44.07165,334.4874,-0.06912007,0.3883541,-0.9189143,30.477205,152.64313,31.817287,-0.1609164,0.15015817,-0.9754786,133.87656,96.90307,223.4196,77.7336,-27.988968,-36.093647,0.35806695,-0.14756078,-0.92196196,-45.170284,243.74573,23.763708,16.149088,30.851303,-102.99214,-0.08667942,0.21966691,-0.9717166,-57.12494,-65.91314,164.25623,-23.206434,26.096848,-107.43933,-0.23908453,0.026528811,-0.9706363,25.03789,-218.38957,205.34473,-47.419266,11.85759,-92.576675,-0.262992,-0.14172453,-0.9543319,175.9736,-258.83148,237.43639,-72.01061,3.7357788,-59.970673,-0.4176477,-0.14131895,-0.8975519,196.04294,14.064094,255.5828,s
7,702721348,7,30,51.995872,54.433952,339.62335,-0.07059636,0.29580024,-0.9526376,31.661688,178.54178,50.25823,-0.15384142,0.85006213,-0.5037134,9.347918,160.94293,212.33842,55.217957,-5.7257233,-66.78987,0.15675572,0.43405756,-0.8871424,-259.66498,489.07782,15.289617,12.809599,-11.928574,-69.7666,-0.05329509,-0.856822,-0.5128505,78.686775,68.60246,456.02118,3.0474796,-18.42302,-70.86856,0.12870798,-0.85412097,-0.5038965,179.95587,9.933617,497.42935,-13.770441,-20.430618,-62.962772,0.22111252,-0.798175,-0.56038016,231.35818,-8.774165,447.17886,-29.413662,-12.529495,-51.835617,0.33019552,-0.607748,-0.72222805,221.32784,49.886444,349.83307,s
8,803625916,8,30,34.345997,78.62653,339.27536,-0.012250998,0.17452262,-0.98457694,18.901497,164.37032,36.646126,-0.34865502,0.737096,-0.5789034,-134.8957,-175.71352,-112.03758,39.972576,-9.250992,-73.17897,-0.12684326,0.2839494,-0.9504123,-250.27437,-202.4006,-152.80202,13.24691,-27.452667,-55.270496,0.14305453,-0.988242,-0.053973876,-122.4715,-286.4443,20.513958,5.679165,-35.72821,-53.011814,0.31830287,-0.94557756,-0.06757468,-104.718956,-291.69867,39.580917,-9.142495,-38.11158,-46.568405,0.40931964,-0.8870535,-0.2135265,-93.25873,-288.986,13.2869625,-22.15477,-32.48491,-34.43966,0.55667806,-0.7620658,-0.33070418,-81.05625,-286.33286,14.115657,s
9,904565443,9,30,24.677301,86.588005,340.13928,0.01647775,0.11871175,-0.992792,15.172014,156.10246,34.74076,-0.3784576,0.71732926,-0.5849859,-13.7198,-52.178425,-1.4910545,34.395187,-10.055344,-73.54643,-0.22113,0.2624492,-0.9392667,-41.30654,-43.424442,7.703585,13.439234,-31.197037,-49.48731,0.17757326,-0.98106384,0.07733993,-14.490031,-79.78518,48.05139,6.4440136,-39.560837,-46.163124,0.34822193,-0.935932,0.05265767,-12.104995,-79.07724,57.296516,-8.116144,-41.69629,-41.57646,0.4347319,-0.88942343,-0.14118816,-14.353159,-74.02792,30.117357,-20.530893,-35.27465,-29.826277,0.59027714,-0.76211214,-0.26600376,-10.2137165,-63.15396,24.546902,s
10,1004551273,10,30,23.250807,91.71602,341.9989,0.020239186,0.097280234,-0.9950512,15.687044,154.78331,35.011833,-0.36032876,0.71126014,-0.60354966,4.8719106,-11.205192,2.4312646,33.105186,-11.227783,-72.37265,-0.25841868,0.2510413,-0.93284404,-2.0984728,-16.645973,15.480733,13.247732,-33.67913,-46.186718,0.15982436,-0.9758507,0.14890108,1.6493609,-31.210173,28.417347,6.5141544,-41.921387,-41.59586,0.33570033,-0.9320592,0.1362752,5.093388,-30.685677,41.085133,-7.9364533,-43.962494,-38.316853,0.42165354,-0.9029945,-0.08251804,7.1212587,-31.914238,32.58782,-20.20546,-36.294228,-27.545536,0.587335,-0.7789184,-0.21982665,7.514913,-20.041868,22.137417,s
11,1104710036,11,30,23.344004,94.176575,342.69516,0.017874515,0.09046515,-0.9957392,15.354346,154.72522,34.811626,-0.35638678,0.70124257,-0.61745226,-6.1720924,-0.4657372,-2.5847073,32.489704,-11.682251,-71.39609,-0.28531978,0.23749389,-0.9285415,-13.046458,-8.983999,8.615419,13.562816,-35.06848,-44.123238,0.1584817,-0.96843016,0.19242303,-3.2636852,-17.199495,21.50546,7.0583487,-43.264984,-38.88925,0.33667845,-0.9234007,0.1843332,-0.55376744,-16.771591,28.959124,-7.101017,-45.48481,-35.957188,0.42712557,-0.9033691,-0.038574826,-0.52536947,-15.707998,20.86013,-19.27181,-37.247337,-25.85529,0.59982944,-0.77944624,-0.18074355,2.5680697,-10.600815,16.775507,s
12,1205793597,12,30,23.936653,96.357216,343.24988,0.010839807,0.08558604,-0.9962718,14.127788,154.704,34.39652,-0.35502195,0.6873273,-0.6336723,-7.957068,-0.2549867,-2.7374215,32.052357,-12.684357,-70.646065,-0.30154738,0.21787252,-0.9282245,-12.239442,-6.5144725,2.3159354,13.915538,-36.415634,-42.265438,0.16082154,-0.95951384,0.23123494,-5.6464543,-8.755933,9.146285,7.4825697,-44.486794,-36.709496,0.33743843,-0.91467905,0.22248046,-5.8148437,-7.9995975,10.819141,-6.7882867,-46.574585,-34.4332,0.42745984,-0.9039691,-0.010858809,-6.5776725,-6.621788,6.2400966,-18.711681,-38.044243,-24.499638,0.6072864,-0.77990687,-0.15148787,-3.8891673,-4.816314,6.055904,s
