id,time,cur_frame,total_frames,arm_pos_x,arm_pos_y,arm_pos_z,arm_yaw,arm_roll,arm_pitch,hand_pos_x,hand_pos_y,hand_pos_z,hand_yaw,hand_roll,hand_pitch,hand_vel_x,hand_vel_y,hand_vel_z,finger1_pos_x,finger1_pos_y,finger1_pos_z,finger1_yaw,finger1_roll,finger1_pitch,finger1_vel_x,finger1_vel_y,finger1_vel_z,finger2_pos_x,finger2_pos_y,finger2_pos_z,finger2_yaw,finger2_roll,finger2_pitch,finger2_vel_x,finger2_vel_y,finger2_vel_z,finger3_pos_x,finger3_pos_y,finger3_pos_z,finger3_yaw,finger3_roll,finger3_pitch,finger3_vel_x,finger3_vel_y,finger3_vel_z,finger4_pos_x,finger4_pos_y,finger4_pos_z,finger4_yaw,finger4_roll,finger4_pitch,finger4_vel_x,finger4_vel_y,finger4_vel_z,finger5_pos_x,finger5_pos_y,finger5_pos_z,finger5_yaw,finger5_roll,finger5_pitch,finger5_vel_x,finger5_vel_y,finger5_vel_z,sign
0,300272125,0,77,32.76412,20.486124,218.6506,-0.08827551,0.624299,-0.7761818,5.873518,196.47987,18.723234,-0.3084798,0.7937059,-0.5242816,-5.4357133,-8.85336,-1.6754978,22.273777,-4.219452,-51.389175,-0.27691242,0.26716882,-0.9230061,-14.422276,17.370897,1.1316559,19.65887,9.051544,-52.898346,0.32120103,-0.7468692,-0.5822511,-11.015909,27.647938,1.8508718,13.237438,1.5870056,-57.83568,0.46608698,-0.67391646,-0.57323605,-34.569992,90.99711,-66.15913,-2.46069,-3.5976562,-56.613846,0.5097619,-0.5506735,-0.66098523,-12.335851,31.556208,-4.4740505,-15.849095,-5.1451263,-46.13957,0.56716126,-0.3448029,-0.7479566,-10.157932,20.822851,-1.8925176,a
1,400512461,1,77,-18.366405,24.286438,212.31468,0.1573685,0.59748495,-0.7862868,4.626441,196.57718,15.922137,-0.41084614,0.83007586,-0.37706703,9.516063,10.023126,-24.919348,13.729432,0.168396,-52.80671,-0.4417813,0.32402822,-0.83656144,-97.80294,16.639992,-38.65595,11.423366,16.041138,-53.654686,0.26114476,-0.65753585,-0.7067178,-82.129524,48.55801,-38.921555,3.560976,10.803711,-58.828453,0.39044943,-0.5528285,-0.7361589,-106.312775,78.826744,-32.841946,-10.784285,2.9516602,-54.891106,0.43508247,-0.45408362,-0.77750325,-88.66957,51.552822,2.5328925,-21.987873,-1.5768738,-42.803024,0.49001232,-0.26890582,-0.829203,-65.19805,30.334826,22.019005,a
2,500693598,2,77,-27.248753,34.776413,213.18642,0.19469567,0.5509188,-0.81153065,4.6453056,198.09344,13.776806,-0.39854425,0.85978574,-0.31926635,-0.80830544,21.58136,-38.237507,10.522732,0.068573,-51.4175,-0.50414526,0.33235428,-0.79710615,-10.234057,6.0468655,-16.35359,11.300373,19.260803,-52.611397,0.24367294,-0.61514306,-0.749815,36.132618,44.07786,-23.357067,2.8051758,15.454041,-58.12845,0.36988243,-0.50044394,-0.7827789,34.576504,56.903904,-29.814142,-11.276651,6.737976,-53.972313,0.4242784,-0.4169924,-0.80380666,30.291847,53.94797,-37.48461,-22.183205,0.54356384,-41.35207,0.5034696,-0.27027944,-0.8206506,23.052206,42.032402,-37.55067,a
3,601230391,3,77,-18.15451,31.53443,215.85147,0.13526349,0.5622218,-0.8158495,4.2446203,197.51717,13.775105,-0.3256286,0.8645288,-0.38282627,-4.69434,-13.681408,8.295064,18.131115,-1.2651825,-48.273617,-0.37508237,0.32056382,-0.86980003,73.67395,-17.380789,38.262836,20.629704,19.111847,-49.7573,0.36461496,-0.6182084,-0.6963292,81.23653,-13.546096,39.248604,12.997228,15.813522,-56.766155,0.4949828,-0.5013107,-0.7097039,90.88561,-9.469254,25.441236,-0.8676336,4.779892,-52.60552,0.5812643,-0.49779063,-0.6436896,92.32869,-30.103237,15.347666,-14.09573,-0.8866272,-43.42004,0.6601728,-0.3354152,-0.6720629,70.05142,-25.355621,-8.506092,a
4,701307116,4,77,-12.367664,34.628803,219.68945,0.09679976,0.5398283,-0.8361909,2.6730838,196.21326,13.886506,-0.30068365,0.8771118,-0.37451866,-22.596533,-8.438185,-9.080682,20.908993,-0.4820404,-46.759743,-0.3161673,0.3492404,-0.8820824,-15.350785,1.7201065,-5.322755,23.61159,20.576141,-47.809532,0.40481624,-0.59754544,-0.692144,-22.315823,7.322544,-3.0245054,16.294228,17.766403,-55.40615,0.5354902,-0.4787032,-0.6957683,-22.780159,10.477526,-3.8702145,3.003911,5.256119,-52.05352,0.6217011,-0.49586314,-0.6063064,-13.066236,-8.092694,-2.8095548,-11.33457,0.015548706,-43.994434,0.70316464,-0.32485008,-0.63248074,-21.114874,1.4910218,-9.345,a
5,801360534,5,77,-15.081189,35.995224,216.33414,0.113525115,0.5455789,-0.8303347,1.2775468,197.97017,10.944657,-0.34871748,0.85849434,-0.3760101,-14.530774,23.523977,-38.532806,15.693215,-3.0672913,-48.41428,-0.4127882,0.30672857,-0.8576267,-70.056694,-14.627865,-53.32555,17.856647,18.50708,-51.041794,0.3287311,-0.62638474,-0.7068083,-82.58494,-10.034014,-77.77935,9.677411,15.477966,-57.6498,0.4567739,-0.5063107,-0.7314418,-91.63757,-16.35281,-65.55212,-2.6355214,2.245102,-51.6777,0.55905837,-0.5357823,-0.63276464,-77.74419,-22.633991,-32.09797,-15.834104,-2.9602203,-41.769028,0.6409613,-0.38097543,-0.666353,-65.125206,-15.637905,-14.937721,a
6,901719732,6,77,-18.712605,34.78888,213.44092,0.13423696,0.5582924,-0.8187124,1.1807749,198.85599,9.695584,-0.3704003,0.8428945,-0.39029792,-2.1409783,5.4171243,-10.4439745,14.061037,-4.9599,-48.5774,-0.4486339,0.27210703,-0.85128456,-4.4669747,-0.6121477,-10.005325,15.60141,16.852707,-52.337547,0.30413947,-0.64825165,-0.69804657,-11.464672,0.41849118,-15.230685,7.1248245,13.654892,-58.514107,0.42985588,-0.52757543,-0.73272645,-12.693844,-0.32139322,-13.562111,-4.440591,-0.31784058,-50.61558,0.54619163,-0.5746117,-0.60950476,-10.245557,-3.6992354,-1.4335698,-17.431767,-4.8410187,-40.637215,0.6209835,-0.4077349,-0.66942644,-9.073855,-2.5188322,-3.316211,a
7,1002464418,7,77,-20.669025,35.249897,211.82903,0.14674039,0.55858624,-0.81636304,1.0052183,198.89969,8.225854,-0.39072773,0.83185047,-0.3941531,-1.5708383,-2.0984716,-13.385019,13.511946,-5.494293,-48.74465,-0.46844453,0.25683,-0.845339,2.150538,0.38158953,-17.879614,13.890965,16.068954,-53.060966,0.29078227,-0.6575211,-0.69506234,-21.239351,-12.892139,-22.10405,5.2282934,12.75708,-58.945366,0.41387996,-0.5356562,-0.73605424,-23.22376,-15.048422,-18.489832,-6.6287165,-0.47044373,-49.898895,0.5282814,-0.5652078,-0.63360786,-33.125862,4.4932303,-8.368152,-18.68546,-5.8770905,-39.52136,0.6075367,-0.41607678,-0.6765939,-20.128609,-7.8794556,-2.2338998,a
8,1103234741,8,77,-20.141933,34.915302,210.96329,0.14569633,0.5602376,-0.81541795,1.7172271,198.94002,7.36343,-0.3823068,0.8328535,-0.40024558,10.5365925,-1.8251528,-14.027663,14.340121,-5.517273,-48.633923,-0.45708993,0.25738385,-0.851365,22.003347,-0.49313694,-14.033479,14.537377,15.872604,-52.946785,0.29487497,-0.6606247,-0.69037944,17.817406,-4.479127,-12.872488,5.961893,12.208267,-57.557938,0.4342856,-0.57803845,-0.69084555,26.626,-30.572403,39.436665,-6.444851,-0.18499756,-49.676113,0.53102034,-0.56578344,-0.63079834,11.011139,2.6748555,-10.835592,-18.732693,-5.55896,-39.377033,0.60812473,-0.4097025,-0.6799472,8.662064,2.6105237,-12.798384,a
9,1204030701,9,77,-15.826005,40.63497,200.0213,0.1623623,0.51641804,-0.8408037,6.459934,191.65578,-12.657535,-0.45225236,0.7576466,-0.4705735,57.541664,-124.29414,-202.3177,14.909775,-8.382675,-48.4732,-0.47932842,0.1449662,-0.8655802,77.48008,-132.55731,-201.7808,12.530809,11.6987915,-54.52296,0.3369666,-0.7001272,-0.62950414,59.92854,-148.84238,-207.52354,4.050909,6.9206085,-55.495953,0.49382022,-0.65316194,-0.5740393,56.047752,-146.45683,-186.59677,-8.733717,-3.7398987,-49.353428,0.54518735,-0.5513431,-0.6314994,43.935295,-130.97276,-206.78156,-19.435732,-10.166077,-37.95054,0.61732304,-0.41125,-0.6706607,52.795418,-136.9567,-198.86397,a
